id	name	gene_name	uniprot_id	conditions	indication_types	concentration	age	sex	biofluid	protein_sequence	citation
19	Aspartate Transaminase	GOT1	P17174	Liver Disease	Diagnostic	>20 U/L	Adult: >=18 yrs old	Male	Blood	Health link BC: Aspartate Aminotransferase
19	Aspartate Transaminase	GOT1	P17174	Normal	Diagnostic	17 (14-20) U/L	Adult: >=18 yrs old	Male	Blood	Health link BC: Aspartate Aminotransferase
19	Aspartate Transaminase	GOT1	P17174	Liver Disease	Diagnostic	>36 U/L	Adult: >=18 yrs old	Female	Blood	Health link BC: Aspartate Aminotransferase
19	Aspartate Transaminase	GOT1	P17174	Normal	Diagnostic	23 (10-36) U/L	Adult: >=18 yrs old	Female	Blood	Health link BC: Aspartate Aminotransferase
19	Aspartate Transaminase	GOT1	P17174	Normal	Diagnostic	20 (17-23) U/L	Adult: >=18 yrs old	Female	Serum	Kashima, S., Inoue, K., Matsumoto, M. & Akimoto, K. Do non-glycaemic markers add value to plasma glucose and hemoglobin a1c in predicting diabetes? Yuport health checkup center study. PLoS One 8, e66899 (2013).
19	Aspartate Transaminase	GOT1	P17174	Normal	Diagnostic	22 (18-26) U/L	Adult: >=18 yrs old	Male	Serum	Kashima, S., Inoue, K., Matsumoto, M. & Akimoto, K. Do non-glycaemic markers add value to plasma glucose and hemoglobin a1c in predicting diabetes? Yuport health checkup center study. PLoS One 8, e66899 (2013).
19	Aspartate Transaminase	GOT1	P17174	Normal	Diagnostic	97 (32-162) U/L	Infant: 0-<15 days old	Female	Serum	Adeli K, Higgins V, Trajcevski K, White-Al Habeeb N. The Canadian laboratory initiative on pediatric reference intervals: a CALIPER white paper. Crit Rev Cliin Lab Sci. 2017 Sep;54(6):358-413. doi: 10.1080/10408363.2017.1379945. Epub 2017 Oct 11. Erratum in: crit Rev Clin Lab Sci. 2020 Mar;57(2):145. doi: 10.1080/10408363.2019.1704475. PMID: 29017389.
19	Aspartate Transaminase	GOT1	P17174	Normal	Diagnostic	43.5 (20-67) U/L	Infant: 15 days - 1 yr old	Female	Serum	Adeli K, Higgins V, Trajcevski K, White-Al Habeeb N. The Canadian laboratory initiative on pediatric reference intervals: a CALIPER white paper. Crit Rev Cliin Lab Sci. 2017 Sep;54(6):358-413. doi: 10.1080/10408363.2017.1379945. Epub 2017 Oct 11. Erratum in: crit Rev Clin Lab Sci. 2020 Mar;57(2):145. doi: 10.1080/10408363.2019.1704475. PMID: 29017389.
19	Aspartate Transaminase	GOT1	P17174	Normal	Diagnostic	32.5 (21-44) U/L	Children: 1-<7 yrs old	Female	Serum	Adeli K, Higgins V, Trajcevski K, White-Al Habeeb N. The Canadian laboratory initiative on pediatric reference intervals: a CALIPER white paper. Crit Rev Cliin Lab Sci. 2017 Sep;54(6):358-413. doi: 10.1080/10408363.2017.1379945. Epub 2017 Oct 11. Erratum in: crit Rev Clin Lab Sci. 2020 Mar;57(2):145. doi: 10.1080/10408363.2019.1704475. PMID: 29017389.
19	Aspartate Transaminase	GOT1	P17174	Normal	Diagnostic	27 (18-36) U/L	Children: 7-<12 yrs old	Female	Serum	Adeli K, Higgins V, Trajcevski K, White-Al Habeeb N. The Canadian laboratory initiative on pediatric reference intervals: a CALIPER white paper. Crit Rev Cliin Lab Sci. 2017 Sep;54(6):358-413. doi: 10.1080/10408363.2017.1379945. Epub 2017 Oct 11. Erratum in: crit Rev Clin Lab Sci. 2020 Mar;57(2):145. doi: 10.1080/10408363.2019.1704475. PMID: 29017389.
19	Aspartate Transaminase	GOT1	P17174	Normal	Diagnostic	19.5 (13-26) U/L	Adolescent: 12-<19 yrs old	Female	Serum	Adeli K, Higgins V, Trajcevski K, White-Al Habeeb N. The Canadian laboratory initiative on pediatric reference intervals: a CALIPER white paper. Crit Rev Cliin Lab Sci. 2017 Sep;54(6):358-413. doi: 10.1080/10408363.2017.1379945. Epub 2017 Oct 11. Erratum in: crit Rev Clin Lab Sci. 2020 Mar;57(2):145. doi: 10.1080/10408363.2019.1704475. PMID: 29017389.
