id	name	hmdb_id	conditions	indication_types	concentration	age	sex	biofluid	citation
87	Glyceric acid	HMDB0000139	Hyperoxaluria	Diagnostic	25 mg/g creatinine	Children: =11 yrs old	Both	urine	Mayo Clinic Test Catalog
87	Glyceric acid	HMDB0000139	Normal	Diagnostic	10.0 (0.0-24.0) uM	Adult (>18 years old)	Both	Blood	Wishart, D. S., Knox, C., Guo, A. C., Eisner, R., Young, N., Gautam, B., Hau, D. D., Psychogios, N., Dong, E., Bouatra, S., Mandal, R., Sinelnikov, I., Xia, J., Jia, L., Cruz, J. A., Lim, E., Sobsey, C. A., Shrivastava, S., Huang, P., Liu, P., Fang, L., Peng, J., Fradette, R., Cheng, D., Tzur, D., Clements, M., Lewis, A., De Souza, A., Zuniga, A., Dawe, M., Xiong, Y., Clive, D., Greiner, R., Nazyrova, A., Shaykhutdinov, R., Li, L., Vogel, H. J. & Forsythe, I. HMDB: a knowledgebase for the human metabolome. Nucleic Acids Res 37, D603-D610 (2009).
89	Formic acid	HMDB0000142	Methyl Formate Exposure	Diagnostic	79.1 (51.3-106.9) umol/mmol creatinine	Adult	Both	Urine	Berode, M., Sethre, T., Laubli, T. & Savolainen, H. Urinary methanol and formic acid as indicators of occupational exposure to methyl formate. Int Arch Occup Environ Health 73, 410-414 (2000).
89	Formic acid	HMDB0000142	Normal	Diagnostic	17.0 (8.9-25.1) umol/mmol creatinine	Adult	Both	Urine	Baumann, K. & Angerer, J. Occupational chronic exposure to organic solvents. VI. Formic acid concentration in blood and urine as an indicator of methanol exposure. Int Arch Occup Environ Health 42, 241-249 (1979).
89	Formic acid	HMDB0000142	Autosomal Dominant Polycystic Kidney Disease	Diagnostic	0.0043 (0.00060-0.0081) umol/mmol creatinine	Adult	Both	Urine	Pubmed_ID: 21389975
89	Formic acid	HMDB0000142	Pregnancy	Diagnostic	19.3 (0-201.7) uM	Adult	Female	Blood	Pubmed_ID: 22494326
89	Formic acid	HMDB0000142	Normal	Diagnostic	224.5 (104.7-344.3) uM	Adult	Both	Blood	Baumann, K. & Angerer, J. Occupational chronic exposure to organic solvents. VI. Formic acid concentration in blood and urine as an indicator of methanol exposure. Int Arch Occup Environ Health 42, 241-249 (1979).
89	Formic acid	HMDB0000142	Preeclampsia/Eclampsia	Diagnostic	12.4 uM	Adult: >=18 yrs old	Female	Blood	Pubmed_ID: 22494326
89	Formic acid	HMDB0000142	Normal	Diagnostic	5 (1-9) mcg/mL	All	Both	Plasma	Mayo Clinic Test Catalog
89	Formic acid	HMDB0000142	Pregnancy	Diagnostic	22.25 (0.5-44) mcg/mL	All	Both	serum	Mayo Clinic Test Catalog
89	Formic acid	HMDB0000142	Normal	Diagnostic	32 +/- 16 (N/A-N/A) uM	Adult (>18 years old)	Both	Cerebrospinal Fluid (CSF)	Wishart, D. S., Knox, C., Guo, A. C., Eisner, R., Young, N., Gautam, B., Hau, D. D., Psychogios, N., Dong, E., Bouatra, S., Mandal, R., Sinelnikov, I., Xia, J., Jia, L., Cruz, J. A., Lim, E., Sobsey, C. A., Shrivastava, S., Huang, P., Liu, P., Fang, L., Peng, J., Fradette, R., Cheng, D., Tzur, D., Clements, M., Lewis, A., De Souza, A., Zuniga, A., Dawe, M., Xiong, Y., Clive, D., Greiner, R., Nazyrova, A., Shaykhutdinov, R., Li, L., Vogel, H. J. & Forsythe, I. HMDB: a knowledgebase for the human metabolome. Nucleic Acids Res 37, D603-D610 (2009).
90	D-Galactose	HMDB0000143	Normal	Diagnostic	5.4 mg/dL	Infant: >7 days	All	Plasma	Mayo Clinic Test Catalog
90	D-Galactose	HMDB0000143	Normal	Diagnostic	3.6 mg/dL	Infant: 8-14 days	All	Plasma	Mayo Clinic Test Catalog
90	D-Galactose	HMDB0000143	Normal	Diagnostic	2 mg/dL	Infant: >15 days	All	Plasma	Mayo Clinic Test Catalog
90	D-Galactose	HMDB0000143	Normal	Diagnostic	166.0 +/- 99.0 (N/A-N/A) uM	Adult (>18 years old)	Both	Cerebrospinal Fluid (CSF)	Wishart, D. S., Knox, C., Guo, A. C., Eisner, R., Young, N., Gautam, B., Hau, D. D., Psychogios, N., Dong, E., Bouatra, S., Mandal, R., Sinelnikov, I., Xia, J., Jia, L., Cruz, J. A., Lim, E., Sobsey, C. A., Shrivastava, S., Huang, P., Liu, P., Fang, L., Peng, J., Fradette, R., Cheng, D., Tzur, D., Clements, M., Lewis, A., De Souza, A., Zuniga, A., Dawe, M., Xiong, Y., Clive, D., Greiner, R., Nazyrova, A., Shaykhutdinov, R., Li, L., Vogel, H. J. & Forsythe, I. HMDB: a knowledgebase for the human metabolome. Nucleic Acids Res 37, D603-D610 (2009).
91	Estrone	HMDB0000145	X-Linked Ichthyosis	Diagnostic	0.00021 (0.00011-0.00032) uM	Adult	Male	Blood	Pubmed_ID: 3864567
91	Estrone	HMDB0000145	Normal	Diagnostic	0.00012 (0-0.00024) uM	Adult	Female	Blood	The Merck Manual, 17th ed. Mark H. Beers, MD, Robert Berkow, MD, eds. Whitehouse Station, NJ: Merck Research Labs, 1999.
91	Estrone	HMDB0000145	Menstrual Cycle	Diagnostic	0.00030 (0.00018-0.00042) uM	Adult	Female	Blood	The Merck Manual, 17th ed. Mark H. Beers, MD, Robert Berkow, MD, eds. Whitehouse Station, NJ: Merck Research Labs, 1999.
